Id,Type,IdentityResourceId
1,website,1
2,picture,1
3,profile,1
4,preferred_username,1
5,nickname,1
6,middle_name,1
7,given_name,1
8,family_name,1
9,name,1
10,gender,1
11,birthdate,1
12,zoneinfo,1
13,locale,1
14,updated_at,1
15,sub,2
